title,link,text,is_fake
"«Меня можно признать иноагентом, посадить, убить, но невозможно заставить замолчать»: интервью с главным оппозиционером Григорием Явлинским",https://panorama.pub/news/mena-mozno-priznat-inoagentom-mena,"За всю историю «Панорамы» мы не раз приглашали на интервью опальных деятелей, диссидентов и оппозиционеров. Так,
именно благодаря интервью с Лениным в Финляндии граждане Российской империи
смогли узнать о партийной программе большевиков и причинах подавления Июльского
восстания, а за широко распространившееся в самиздате и заграничной прессе
интервью с академиком Сахаровым главные редакторы издания были удостоены Пулитцеровской премии в 1984 году.В этот тяжёлый для журналистики час интервьюер «Панорамы» Олесь Вавёркин на свой страх и риск взял интервью у
лидера радикальной части российской оппозиции Григория Явлинского, доказывая,
что журналисты издания всегда готовы исполнить свой гражданский долг.Подъезжая к месту встречи, для
дополнительной безопасности мы вынуждены были выйти за километр от
конспиративной квартиры, в которой временно располагается штаб «Яблока» и место
проживания Явлинского. Подойдя к двери, назвав пароль, мы вошли в подпольный
штаб, в котором, несмотря на угрозу ареста, ни на секунду не затихает
конструктивная борьба за российскую демократию.«Вот в этой комнате я выхожу на связь с
Венедиктовым (признан в РФ иностранным агентом)на «Живом гвозде», когда не могу прийти в его студию из-за угрозы планового покушения, – рассказывает нам главный оппозиционер, проводя небольшую
экскурсию по штабу. – А вот тут расположена подпольная типография, в которой мы
печатаем листовки с агитацией за «Яблоко». Разрешения все есть, если что. Работа кипит, как видите. Мы не сдаёмся».Завершив осмотр квартиры и удостоверившись в отсутствии риска
полицейской облавы, мы начинаем наше интервью.— Григорий Алексеевич, спасибо, что согласились на интервью.— Вы – единственное СМИ, которому можно доверять. Только говорите потише, шёпотом,
пожалуйста. Не дай бог, нас соседи услышат.— У нас долгое время не получалось у вас взять интервью. Почему в этот раз
беседа с вами оказалась возможной?— Потому что у власти не было другого выбора. Я намеренно позвонил в Кремль, как
всегда выслушал, что от меня ждут, какие заявления я должен сделать, а потом... Потом я взял
и повесил трубку. Они знали, что я собираюсь дать интервью «Панораме» и не
смогли помешать. Я поставил их перед фактом. Я на шаг впереди. Я не отступлю.— Расскажите в каком состоянии пребывает партия «Яблоко»? Каковы ваша
программа и план дальнейших действий?— Конечно, нам очень тяжело. Меня перестали звать на телевидение, партии
сократили государственное финансирование, убрали упоминание моей программы
реформ из учебников истории. Однако мы не сдадимся. Выгнали из телевидения?
Будем агитировать на других платформах, МАХ, например. Сократили госфинансирование? Компенсируем продажей нового мерча «Яблока».— Однако вас до сих пор не признали иностранным агентом и не завели уголовное дело, хотя риски существуют. Есть ли у вас план на этот случай?— Если меня признают иностранным агентом или посадят в тюрьму, то это будет
конец режима (прим. ред.: после интервью Явлинский попросил нас уточнить, что
речь была о его режиме сна). Все прекрасно знают, что Явлинский и его партия
никогда не финансировались иностранными государствами, а только своим. И членскими взносами. А уголовное дело на меня не за что
завести. Они думают, что если я оппозиционер, то я преступник и уголовник, но я
соблюдаю закон и прицепиться ко мне невозможно. Если меня арестуют, то даже мои
противники поймут, что это всё фарс, потому что все прекрасно знают, что
Явлинский ничего не сделал. Меня можно признать иноагентом, меня можно посадить
и меня можно убить. Но меня никогда невозможно заставить замолчать.— У многих в России возникает ощущение, что вы – спойлер, и изображаете
из себя оппозицию.— Ну, вы же понимаете, что эти обвинения не связаны с реальностью. Что по их
мнению реальная политика? Сидеть в тюрьме? Уехать заграницу и писать в Twitter?
Это реальная политика? Нет. Реальная политика — это здесь, со своим реальным народом. Даже
в рюмочной неподалёку реальной политики больше, чем в Twitter у иноагентов. «Яблоко» уже на протяжении 30 лет защищает демократию в России, и мы никуда не бежим,
мы здесь. Ни одна другая демократическая партия так долго не была на виду в
России. Куда делись все эти декабристы после своего восстания? Куда делись
кадеты после октября? А мы встали и стоим. Пусть немного надломленные, нагнутые,
но стоим.— Вы участвовали в выборах 2018 года, но кампанию 2024-го года вы
пропустили. Почему?— На самом деле ничего я не пропускал. Меня просто не допустили. Я говорил,
что выдвинусь, еслисоберу 10 миллионов подписейза выдвижение. И я собрал даже в 10 раз больше.
Но эти подписи тогда просто сгорели. Иначе всем стало бы ясно, что поддержка властей в соцопросах просто-напросто рисованная, и поэтому они подстроили этот поджог,
чтобы не утруждать себя создавать надуманные поводы не допускать меня на
выборы.— А на выборах в 2030 году будете выдвигать свою кандидатуру?— Посмотрим. Если появится такая же угроза демократии, как Алексей
Навальный, то придётся опять идти на выборы. Я уже неоднократно спасал страну от популизма: в 2012-м, в 2018-м и в 2021-м. Если мне скажут – спасу снова. Вы
знаете, не буду давать никаких обещаний, кто знает, как оно там сложится, но
всё возможно, да. В 2018-м году мне говорили, что я даже процента не наберу, но я
набрал. Набрал бы намного больше, и, скорее всего, победил, если бы не
фальсификации.— И всё-таки, как вы считаете, сможете ли вы достойно заменитьтекущееруководство России?— Я этого не знаю. А вообще, мне сейчас охрана дала сигнал, что нам пора
заканчивать. Есть риск обыска через час и нужно уничтожить все доказательства.
До скорой встречи в конструктивной России будущего.",1
"«Выиграл несколько раз в Спортлото»: главный судья России рассказал, как он стал миллиардером",https://panorama.pub/news/vyigral-neskolko-raz-v-sportloto,"Глава Совета судей России Виктор Момотов в интервью «Комсомольской правде» категорически отверг все обвинения в коррупции и раскрыл секрет своего финансового благополучия — юрист, начиная с 2000 года, регулярно выигрывал в лотерею.«Мне просто очень везёт. Уже 25 лет я каждый месяц покупаю по лотерейному билету «Спортлото» и каждый раз выигрываю. Иногда небольшие суммы, но чаще весьма приличные, от 100 миллионов», – сказал журналистам главный судья России.Свою удивительную удачу Момотов связывает со здоровым образом жизни и патриотическими взглядами.«Мой жизненный опыт говорит, что патриотам везёт больше, чем русофобам. Поэтому хотите быть богатыми и успешными, любите нашу прекрасную страну», – обратился к россиянам юрист.В ближайшее время юрист пообещал передать Генпрокуратуре все выигрышные лотерейные билеты, чтобы у надзорного ведомства не было сомнений в его кристальной честности.",1
"Ирландский дипломат впал в кому, пытаясь перепить белорусского замминистра",https://panorama.pub/news/irlandskij-diplomat-vpal-v-komu,"На дипломатическом приёме в Минске госпитализировали ирландского дипломата Коннора О'Шея, который решил продемонстрировать свои навыки в употреблении крепких напитков, но переоценил свои силы. Мужчина намеревался перепить заместителя министра иностранных дел Владимира Потапова.Соревнование началось с безобидных тостов за дружбу между народами, однако вскоре замминистра дипломатично намекнул на то, что считает застольные способности ирландцев сильно переоценёнными. Через несколько часов, к моменту, когда белорус перешёл на старинные настойки, О'Шей уже с трудом держался на ногах. Затем он попытался выпить литровую бутылку «Крамбамбули», но в процессе потерял сознание и был госпитализирован. Врачи диагностировали алкогольную кому.В МИД РБ заверили, что иностранец действовал на своё усмотрение – будучи взрослым, дееспособным человеком, он сознательно «пошёл на значительный риск, бросив вызов Владимиру Васильевичу – дипломату с огромным стажем». Тем не менее, отмечая «предпринятые огромные усилия» ирландца и его мужество, после выписки ему преподнесут памятный сувенир и приглашение на рыбалку с заместителем министра.",1
Губернатор Вологодской области лично уничтожил бульдозером частный виноградник,https://panorama.pub/news/gubernator-vologodskoj-oblasti-licno-unictozil,"Губернатор Вологодской области Георгий Филимонов в рамках антиалкогольной кампании сам сел за руль бульдозера и уничтожил частный виноградник в посёлке Астафьево. Владелец виноградника пытался защитить свою собственность и был заключён под стражу на 15 суток.Утром 5 сентября в Астафьево привезли бульдозер марки Caterpillar, прибыли журналисты, а через полчаса приехал и сам глава региона. Он лично сел в кабину машины и проехался по винограднику, принадлежащему частному предпринимателю Савельеву. Последний вызвал полицию, но прибывший подполковник заявил ему: «Ты что, не видишь, что это губернатор?», и после непродолжительного совещания с главой региона приказал отправить бизнесмена под административный арест за хулиганство.«Торговцы смертью нам здесь не нужны. Сегодня была показательная акция, но остатки виноградника я распорядился вырубить, – прокомментировал свою инициативу сам Филимонов. – Так называемый предприниматель утверждал, что делает виноградный сок, но все мы знаем, во что превращается виноградный сок уже через несколько недель, если добавить дрожжи и поставить в погреб, потом в нужное время добавлять сахар, снимать осадок, и подавать с белым сыром и оливками при температуре не больше 15 градусов... Получится дьявольский напиток, я хочу сказать, просто дьявольский. Этого нам здесь не надо».",1
Суд запретил песню Михаила Шуфутинского «Третье сентября»,https://panorama.pub/news/sud-zapretil-pesnu-mihaila-sufutinskogo,"Басманный суд столицы полностью удовлетворил иск общественного движения «Русская соборность» о запрете песни Михаила Шуфутинского «Третье сентября» — активистам удалось доказать, что популярная лирическая композиция посвящена не расставанию с любимой, а японскому милитаризму в годы Второй мировой войны.«Мы получали тысячи писем от ветеранов и других заслуженных людей, которые уловили в этой песенке скрытый русофобский смысл. Ведь фразочки про перевёрнутый календарь, костры и друзей с врагами однозначно отсылают к милитаристской Японии», – сказал глава «Русской соборности» Гамлет Лероян.Решение суда уже вступило в силу немедленно, поэтому в течение трёх дней запрещённая песня должна быть удалена стриминговыми сервисами, видеохостингами и другими ресурсами. За распространение или публичное исполнение композиции грозит крупный штраф: физическим лицам придётся заплатить от 100 до 300 тысяч рублей, юридическим – от 3 до 5 миллионов.",1
В Вологде открыли памятник Михаилу Горбачёву,https://panorama.pub/news/v-vologde-otkryli-pamatnik-mihailu,"На Соборной площади Вологды 28 сентября был торжественно открыт памятник первому и последнему президенту Советского Союза Михаилу Горбачёву. В церемонии приняли участие представители КПРФ, духовенства, чиновники и бизнесмены.«Михаил Сергеевич был великим человеком, как многие великие люди, он совершал ошибки. Но все его ошибки компенсируются одним – антиалкогольной кампанией, которую он начал для сбережения советского народа», – сказал губернатор Вологодской области Георгий Филимонов.По информации «Вологодской правды», до конца года во всех школах региона будут проведены занятия памяти Горбачёва. Соответствующие распоряжение учреждения образования получили из администрации губернатора.«На этих уроках нужно рассказать о достижениях последнего главы СССР, а также развеять мифы о его некомпетентности. Особый акцент, разумеется, будет сделан на борьбу с пьянством», –  пишет издание со ссылкой на директоров вологодских школ.",1
"В Останкино выявили диверсанта, продвигавшего в эфир будущих иноагентов",https://panorama.pub/news/v-ostankino-vyavili-diversanta-prodvigavsego,"В телецентре «Останкино» разоблачён сотрудник, подозреваемый в сознательном вредительстве и подрыве идеологической безопасности государства.Следствие установило, что в период с 2016 по 2021 год физическое лицо систематически допускало в эфир телеканалов граждан, которые впоследствии были признаны иностранными агентами.По данным внутренней проверки, вредитель, занимавший должность редактора, целенаправленно выбирал для участия в ток-шоу и развлекательных программах персон с «сомнительной репутацией» и «прозападными взглядами». В результате его действий в эфире федеральных каналов неоднократно появлялись интервью и выступления будущих иноагентов, распространявших «деструктивную информацию» и «подрывавших доверие к власти». Сейчас ведётся расследование с целью установления мотивов диверсанта и выявления его возможных сообщников.«Мы глубоко потрясены произошедшим, – заявил генеральный директор «Первого канала» Константин Эрнст. – Вот так смотришь и сразу несколько передач ведут потенциальные иноагенты. Спрашиваешь у редакторов, кто и как их утверждал, а все только пожимают плечами. В любом случае мы приложим все усилия для того, чтобы виновные понесли заслуженное наказание».",1
«В следующий раз будем нанимать массовку»: генсек ООН глубоко обеспокоен выступлением Нетаньяху перед пустым залом,https://panorama.pub/news/gensek-oon-vyrazil-glubokuu-obespokoennost,"Генеральный секретарь ООН Антониу Гутерриш остался расстроен демаршем дипломатов во время речи премьер-министра Израиля Биньямина Нетаньяху. По мнению Гуттериша, когда «пожилого человека не хотят выслушать – это очень не хорошо».«Я обеспокоен и опечален, потому что у меня самого был опыт публичных провалов. Однажды я выступал на корпоративе ООН и собирался снова рассказать свою любимую шутку. Но как только я открыл рот, все сразу же пошли к шведскому столу за закусками, – посетовал Гутерриш в интервью авторитетному изданию Weekly World News. – Когда вот так обижают невниманием, когда не хотят выслушать пожилого, опытного человека – это не очень хорошо, понимаете, да? Как бы вы себя почувствовали, если бы вас так игнорировали? Это очень плохо, понятно, да? Нам придётся нанимать массовку в следующий раз, но лучше, если никто не будет уходить. Возможно, заблокировать двери будет даже проще».Генсек признался, что его также беспокоит невозможность заставить делегатов усидеть на месте хотя бы 40 минут. В то же время ООН придется поднять плату за аренду зала для израильской делегации, так как из-за её непопулярных выступлений страдает продажа телеправ на трансляцию заседаний генеральной ассамблеи.",1
Торжественно завершено долгожданное объединение Москвы и Петербурга в Москвабург,https://panorama.pub/news/moskvaburg-torzestvenno-zaverseno-dolgozdannoe-obedinenie,"В присутствии Государственного совета, Городских дум и балетных трупп обоих столичных городов объявлено о небывалом событии новейшей истории империи — сего дня повелением всеблагого монарха имперские грады Москва и Петербург навеки слиты в новый административно-культурный центр — славный город Москвабург.В Кремлёвских палатах был торжественно представлен Манифест столичных градов, улаженный пером московского удельного князя Семёна Собянина и графа петербургского Павла Беглова. Князь Московский дал зарок строить новые зоны отдыха, вымостить множество новых каменных мостовых и продлить программу «Московское долголетие», невский градоначальник пообещал завершить строительство Третьего Солевого завода и активно бороться с гололедицей, слякотью и солнечными днями.В специально учреждённой виртуальной Объединённой ратуше принято постановление: сие славное место именовать Москвабургом, на гербе – сфинкс с балалайкой и львиная голова на параде. Всем жителям, пребывающим в сомнении, разрешено называть город в устной беседе Петромосквой.Между Каменным и Александровским мостами купцы уже сняли палаты под новый Манеж-интернационал, а в гимназиях столицы детям велено срочно выучить инаугурационный гимн «Виват Москвабург!».",1
Минздрав США выступил с инициативой приобретения у России 30 тонн анальгина,https://panorama.pub/news/minzdrav-ssa-vystupil-s-iniciativoj,"В ходе выступления в Сенате глава Минздрава США Роберт Кеннеди-младший выступил с инициативой приобрести у России 30 тонн анальгина. Американская сторона намеревается закупить самое массовое российское лекарство, чтобы заменить им парацетамол.Президент США Дональд Трамп ранее высказался о том, что приём парацетамола увеличивает риск возникновения аутизма. В качестве подтверждения он привел в пример состояние Джо Байдена и последние исследования Национального республиканского центра медицины. В связи с этим Минздраву дано поручение о поиске альтернативных лекарственных препаратов.«Русские подошли более основательно к созданию фармакологической промышленности. Они сделали ставку на универсальную таблетку и у них получилось лекарство от всего. В СССР анальгином лечили всё: от поноса до мигрени. Даже мой дядя тайком использовал анальгин от прострелов в голове», – заявил Роберт Кеннеди-младший.Из-за действующих американских санкций стороны не смогут провести рыночную сделку по покупке лекарства. Минздрав США при участии Минфина предложил России произвести бартерный обмен. В обмен на 30 тонн анальгина США передадут России новейшие БПЛА MQ-9 Reaper.",1
